word,id,property,object,question,sparql
action,412,starring,Last_Action_Hero,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Last_Action_Hero starring ?uri },Give me all actors starring in Last Action Hero.
actor,82,birthPlace,Actor,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> { ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Germany> } UNION { ?uri <http://dbpedia.org/ontology/birthPlace> ?place . ?place <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> } },Which actors were born in Germany?
 ,86,birthPlace,Actor,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Actor> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Berlin> },Give me all actors who were born in Berlin.
 ,69,birthPlace,Actor,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) },Give me all actors who were born in Paris after 1950.
 ,128,occupation,Actor,PREFIX foaf:<http://xmlns.com/foaf/0.1/> SELECT DISTINCT ?uri WHERE { ?uri foaf:surname 'Baldwin'@en . { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Actor> . } UNION { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . } },Give me all actors called Baldwin.
 ,133,type,Actor,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?f <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?f <http://dbpedia.org/ontology/starring> ?uri . } ORDER BY DESC(COUNT(DISTINCT(?f))) OFFSET 0 LIMIT 1,Which actor was casted in the most movies? 
 ,412,starring,Last_Action_Hero,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Last_Action_Hero starring ?uri },Give me all actors starring in Last Action Hero.
advertising,97,industry,Advertising,"SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Company> { ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Advertising> } UNION { ?uri <http://dbpedia.org/ontology/industry> ?industry FILTER regex(?industry, ""advertising"", ""i"") } }",Give me all companies in the advertising industry.
african,147,currency,West_African_CFA_franc,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/West_African_CFA_franc> },In which countries can you pay using the West African CFA franc?
age,410,alias,Queens_of_the_Stone_Age,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?name WHERE { Queens_of_the_Stone_Age alias ?name },What was the first name of the band Queens of the Stone Age?
air,8,targetAirport,Air_China,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Air_China targetAirport ?uri },Which airports does Air China serve?
airline,58,-,Airline,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> },How many airlines are there?
  ,116,alliance,Airline,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Airline> { ?uri <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/SkyTeam> } UNION { ?uri <http://dbpedia.org/ontology/Alliance> <http://dbpedia.org/resource/SkyTeam> } },What airlines are part of the SkyTeam alliance?
  ,127,alliance,Airline,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> ; <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> },How many airlines are members of the Star Alliance?
  ,196,targetAirport,Yeti_Airlines,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Yeti_Airlines targetAirport ?uri },Which airports does Yeti Airlines serve?
airport,216,elevation,D??sseldorf_Airport,PREFIX  <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?ele WHERE { dbr:D??sseldorf_Airport elevation ?ele } LIMIT 1,how much is the elevation of D??sseldorf Airport ?
album,88,rdfs:label,Album,"SELECT DISTINCT ?uri WHERE { ?single <http://dbpedia.org/ontology/album> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> ""Last Christmas""@en }",Which music albums contain the song Last Christmas?
  ,130,rdf:type,Album,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?x rdf:type Album ; artist Elvis_Presley ; releaseDate ?y ; recordLabel ?uri } ORDER BY ASC(?y) OFFSET 0 LIMIT 1,For which label did Elvis record his first album?
  ,409,rdf:type,Album,PREFIX  <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type Album ; artist <http://dbpedia.org/resource/Queen_(band)> ; releaseDate ?d } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,What was the first Queen album?
aldi,250,numberOfLocations,Aldi,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?number WHERE { Aldi numberOfLocations ?number },How many Aldi stores are there?
alliance,127,alliance,Star_Alliance,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> ; <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> },How many airlines are members of the Star Alliance?
almanac,401,editor,Farmers'_Almanac,PREFIX dbp: <http://dbpedia.org/property/> SELECT ?uri WHERE { <http://dbpedia.org/resource/Farmers'_Almanac> dbp:editor ?uri },Who writes the Farmers' Almanac?
amazon,392,height,Amazon_Eve,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?height WHERE { Amazon_Eve height ?height },How tall is Amazon Eve?
america,19,creator,Captain_America,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { Captain_America creator ?uri },Who created the comic Captain America?
  ,189,largestCity,United_States,PREFIX  <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?lcity WHERE { dbr:United_States largestCity ?lcity },What is the largest city in america?
amphibian,214,class,Amphibian,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> ASK WHERE { Hylidae class Amphibian },Are tree frogs a type of amphibian?
angel,92,founded,Hells_Angels,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Hells_Angels> <http://dbpedia.org/property/founded> ?date },When were the Hells Angels founded?
ankara,208,city,Ankara,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?x city Ankara ; league Turkish_Ice_Hockey_First_League ; coach ?uri },Who is the coach of Ankara's ice hockey team?
apollo,20,mission,Apollo_14,PREFIX  <http://dbpedia.org/ontology/> PREFIX  <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri mission Apollo_14 },Give me the Apollo 14 astronauts.
