"admitted as province?","89","admittancedate","-","SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Alberta> <http://dbpedia.org/property/admittancedate> ?date }","When was Alberta admitted as province? [admitted_as=dbo:admittancedate]","","",""
"adopted the euro?","102","currency","Euro","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Euro> } UNION { ?uri <http://dbpedia.org/property/currencyCode> ""EUR""@en } }","Which countries adopted the Euro? [adopted=dbo:currency]","","",""
"are celebrated around","148","type","Holiday","SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Holiday }","Which holidays are celebrated around the world? [celebrated_around=rdf:type]","","",""
"are celebrated around","305","type","Holiday","SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Holiday }","Which holidays are celebrated around the world? [celebrated_around=rdf:type]","","",""
"are spoken in","187","spokenIn","-","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/spokenIn> <http://dbpedia.org/resource/Estonia> }","Which languages are spoken in Estonia? [spoken_in=dbo:spokenIn]","","",""
"are spoken in","307","language","Estonia","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?x) AS ?c) WHERE { res:Turkmenistan dbo:language ?x }","How many languages are spoken in Turkmenistan? [spoken_in=dbo:language]","","",""
"are spoken in","385","language","-","PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri rdf:type dbo:Language . res:Colombia dbo:language ?uri }","How many languages are spoken in Colombia? [spoken_in=dbo:language]","","",""
"attend a university?","266","almaMater","-","ASK WHERE { res:Arnold_Schwarzenegger dbo:almaMater ?x . ?x rdf:type dbo:University }","Did Arnold Schwarzenegger attend a university? [attend=dbo:almaMater]","","",""
"bach born? [born=dbo:birthplace]","348","birthPlace","-","","Where was Bach born? [born=dbo:birthPlace]","","",""
"been developed by","125","developer","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Software> . ?company a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/developer> ?company . ?company <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/California> }","Which software has been developed by organizations founded in California? [developed_by=dbo:developer]","","",""
