"<http://dbpedia.org/ontology/capital> ?capital filter (","166","largestCity","-","ASK WHERE { <http://dbpedia.org/resource/Egypt> <http://dbpedia.org/ontology/largestCity> ?large "," <http://dbpedia.org/ontology/capital> ?capital FILTER ( ?large = ?capital ) }","Is Egypts largest city also its capital?","",""
"<http://dbpedia.org/ontology/capital> ?capital filter ( ?large","166","largestCity","-","ASK WHERE { <http://dbpedia.org/resource/Egypt> <http://dbpedia.org/ontology/largestCity> ?large "," <http://dbpedia.org/ontology/capital> ?capital FILTER ( ?large = ?capital ) }","Is Egypts largest city also its capital?","",""
"<http://dbpedia.org/ontology/draftteam> <http://dbpedia.org/resource/chicago_bulls> } } order","186","weight","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> "," <http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/ontology/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1","Who is the heaviest player of the Chicago Bulls?","",""
"<http://dbpedia.org/ontology/elevation> ?elevation } order","120","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1","What is the highest mountain?","",""
"<http://dbpedia.org/ontology/elevation> ?elevation } order","165","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1","What is the second highest mountain on Earth?","",""
"<http://dbpedia.org/ontology/elevation> ?elevation } order","165","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1","What is the second highest mountain on Earth?","",""
"<http://dbpedia.org/ontology/elevation> ?elevation } order by","120","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1","What is the highest mountain?","",""
"<http://dbpedia.org/ontology/elevation> ?elevation } order by","165","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1","What is the second highest mountain on Earth?","",""
"<http://dbpedia.org/ontology/elevation> ?elevation } order by","165","elevation","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> "," <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1","What is the second highest mountain on Earth?","",""
"<http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/metalcore> { ?uri","101","hometown","Australia","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> "," <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Give me all Australian metalcore bands.","",""
"<http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/metalcore> { ?uri <http://dbpedia.org/ontology/hometown>","101","hometown","Australia","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> "," <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Give me all Australian metalcore bands.","",""
"<http://dbpedia.org/ontology/height> ?h } order","31","height","-","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> "," <http://dbpedia.org/ontology/height> ?h } ORDER BY DESC(?h) OFFSET 0 LIMIT 1","Who is the tallest player of the Atlanta Falcons?","",""
"<http://dbpedia.org/ontology/height> ?h } order by","31","height","-","SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> "," <http://dbpedia.org/ontology/height> ?h } ORDER BY DESC(?h) OFFSET 0 LIMIT 1","Who is the tallest player of the Atlanta Falcons?","",""
"<http://dbpedia.org/ontology/height> ?n filter (","34","height","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> "," <http://dbpedia.org/ontology/height> ?n FILTER ( ?n > 2.0 ) }","Show me all basketball players that are higher than 2 meters.","",""
"<http://dbpedia.org/ontology/height> ?n filter ( ?n","34","height","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> "," <http://dbpedia.org/ontology/height> ?n FILTER ( ?n > 2.0 ) }","Show me all basketball players that are higher than 2 meters.","",""
"<http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/australia> } union {","101","hometown","Australia","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> "," <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Give me all Australian metalcore bands.","",""
"<http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country>","101","hometown","Australia","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> "," <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Give me all Australian metalcore bands.","",""
"<http://dbpedia.org/ontology/mass> ?n } order","156","mass","-","SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> "," <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1","How heavy is Jupiter's lightest moon?","",""
"<http://dbpedia.org/ontology/mass> ?n } order","156","mass","-","SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> "," <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1","How heavy is Jupiter's lightest moon?","",""
"<http://dbpedia.org/ontology/mass> ?n } order by","156","mass","-","SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> "," <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1","How heavy is Jupiter's lightest moon?","",""
"<http://dbpedia.org/ontology/mass> ?n } order by","156","mass","-","SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> "," <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1","How heavy is Jupiter's lightest moon?","",""
"<http://dbpedia.org/ontology/officiallanguage> ?language } group","134","officialLanguage","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> "," <http://dbpedia.org/ontology/officialLanguage> ?language } GROUP BY ?uri HAVING ( COUNT(?language) > 2 )","Which countries have more than two official languages?","",""
"<http://dbpedia.org/ontology/officiallanguage> ?language } group by","134","officialLanguage","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> "," <http://dbpedia.org/ontology/officialLanguage> ?language } GROUP BY ?uri HAVING ( COUNT(?language) > 2 )","Which countries have more than two official languages?","",""
"<http://dbpedia.org/ontology/weight> ?num { ?uri","186","weight","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> "," <http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/ontology/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1","Who is the heaviest player of the Chicago Bulls?","",""
"<http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team>","186","weight","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> "," <http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/ontology/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1","Who is the heaviest player of the Chicago Bulls?","",""
"<http://dbpedia.org/property/draftteam> <http://dbpedia.org/resource/chicago_bulls> } union {","186","weight","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> "," <http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/ontology/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1","Who is the heaviest player of the Chicago Bulls?","",""
"<http://dbpedia.org/property/established> ?year filter (","113","established","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Library> "," <http://dbpedia.org/property/established> ?year FILTER ( ?year < 1400 ) }","Give me all libraries established earlier than 1400.","",""
"<http://dbpedia.org/property/established> ?year filter ( ?year","113","established","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Library> "," <http://dbpedia.org/property/established> ?year FILTER ( ?year < 1400 ) }","Give me all libraries established earlier than 1400.","",""
"<http://dbpedia.org/property/ign> ?score } order","32","subject","Category:Action_role-playing_video_games","SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Action_role-playing_video_games> "," <http://dbpedia.org/property/ign> ?score } ORDER BY DESC(?score) LIMIT 10","What are the top-10 action role-playing video games according to IGN?","",""
"<http://dbpedia.org/property/ign> ?score } order","32","-","-","SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Action_role-playing_video_games> "," <http://dbpedia.org/property/ign> ?score } ORDER BY DESC(?score) LIMIT 10","What are the top-10 action role-playing video games according to IGN?","",""
"<http://dbpedia.org/property/ign> ?score } order by","32","subject","Category:Action_role-playing_video_games","SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Action_role-playing_video_games> "," <http://dbpedia.org/property/ign> ?score } ORDER BY DESC(?score) LIMIT 10","What are the top-10 action role-playing video games according to IGN?","",""
"<http://dbpedia.org/property/ign> ?score } order by","32","-","-","SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Action_role-playing_video_games> "," <http://dbpedia.org/property/ign> ?score } ORDER BY DESC(?score) LIMIT 10","What are the top-10 action role-playing video games according to IGN?","",""
