"< 1400 )","113","established","-","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Library> "," <http://dbpedia.org/property/established> ?year FILTER ( ?year < 1400 ) }","Give me all libraries established earlier than 1400.","",""
"<http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/star_alliance>","127","-","-","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> "," <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> }","How many airlines are members of the Star Alliance?","",""
"<http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/star_alliance> }","127","-","-","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> "," <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> }","How many airlines are members of the Star Alliance?","",""
"<http://dbpedia.org/ontology/almamater> <http://dbpedia.org/resource/columbia_university>","140","-","-","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> "," <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> }","How many politicians graduated from Columbia University?","",""
"<http://dbpedia.org/ontology/almamater> <http://dbpedia.org/resource/columbia_university> }","140","-","-","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> "," <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> }","How many politicians graduated from Columbia University?","",""
"<http://dbpedia.org/ontology/architecturalstyle> <http://dbpedia.org/resource/english_gothic_architecture>","145","architecturalStyle","English_Gothic_architecture","SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> "," <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> "," <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> }","Show me all English Gothic buildings in Kent.",""
"<http://dbpedia.org/ontology/architecturalstyle> <http://dbpedia.org/resource/english_gothic_architecture>","145","architecturalStyle","English_Gothic_architecture","SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Building> "," <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> "," <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent> }","Show me all English Gothic buildings in Kent.",""
"<http://dbpedia.org/ontology/capital> ?capital","166","largestCity","-","ASK WHERE { <http://dbpedia.org/resource/Egypt> <http://dbpedia.org/ontology/largestCity> ?large "," <http://dbpedia.org/ontology/capital> ?capital FILTER ( ?large = ?capital ) }","Is Egypts largest city also its capital?","",""
"<http://dbpedia.org/ontology/capital> ?capital filter","166","largestCity","-","ASK WHERE { <http://dbpedia.org/resource/Egypt> <http://dbpedia.org/ontology/largestCity> ?large "," <http://dbpedia.org/ontology/capital> ?capital FILTER ( ?large = ?capital ) }","Is Egypts largest city also its capital?","",""
"<http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/australia> }","101","hometown","Australia","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> "," <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Metalcore> { ?uri <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/hometown> ?h . ?h <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }","Give me all Australian metalcore bands.","",""
