"word","id","property","sparql","sparql"
"alive","235","deathDate","ASK WHERE { OPTIONAL { res:Frank_Herbert dbo:deathDate ?date } FILTER ( ! bound(?date) ) }","Is Frank Herbert still alive?"
"alma mater","194","almaMater","SELECT ?Almamater WHERE { dbr:Angela_Merkel dbo:almaMater ?Almamater }","What is the alma mater of the chancellor of Germany Angela Merkel?"
"common","344","languageFamily","ASK WHERE { dbr:Urdu dbo:languageFamily ?uri . dbr:Persian_language dbo:languageFamily ?uri }","Do Urdu and Persian have a common root?"
"deep","28","maximumDepth","SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Lake_Placid_(Texas)> dbo:maximumDepth ?n }","How deep is Lake Placid?"
"doctoral supervisor","337","doctoralAdvisor","SELECT DISTINCT ?uri WHERE { res:Albert_Einstein dbo:doctoralAdvisor ?uri }","Who was the doctoral supervisor of Albert Einstein?"
"ethnic group","316","ethnicGroup","SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Slovenia dbo:ethnicGroup ?uri }","How many ethnic groups live in Slovenia?"
"first  ","219","activeYearsStartYear","SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Royalty , rdf:type yago:WikicatEnglishMonarchs , dbo:activeYearsStartYear ?date } ORDER BY ASC(?date) OFFSET 0 LIMIT 1","Who was the first King of England?"
"first  ","384","firstAscentPerson","SELECT DISTINCT ?uri WHERE { res:Mount_Everest dbo:firstAscentPerson ?uri }","Who was the first to climb Mount Everest?"
"heaviest","186","weight","SELECT DISTINCT ?uri WHERE { ?uri a dbo:Person , dbo:weight ?num { ?uri dbp:team res:Chicago_Bulls } UNION { ?uri dbp:draftTeam res:Chicago_Bulls } UNION { ?uri dbo:draftTeam res:Chicago_Bulls } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1","Who is the heaviest player of the Chicago Bulls?"
"heavy","156","mass","SELECT DISTINCT ?n WHERE { ?uri dbp:satelliteOf res:Jupiter , dbo:mass ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1","How heavy is Jupiter's lightest moon?"
"high","298","height","SELECT DISTINCT ?num WHERE { res:Colombo_Lighthouse dbo:height ?num }","How high is the lighthouse in Colombo?"
"high","304","height","SELECT DISTINCT ?num WHERE { res:Yokohama_Marine_Tower dbo:height ?num }","How high is the Yokohama Marine Tower?"
"higher","34","height","SELECT DISTINCT ?uri WHERE { ?uri a dbo:BasketballPlayer , dbo:height ?n FILTER ( ?n > 2.0 ) }","Show me all basketball players that are higher than 2 meters."
"higher","174","elevation","SELECT DISTINCT ?uri WHERE { res:Nanga_Parbat dbo:elevation ?elevation . ?uri a dbo:Mountain { ?uri dbo:elevation ?otherelevation } UNION { ?uri dbp:elevationM> ?otherelevation } FILTER ( ?otherelevation > ?elevation ) }","Which mountains are higher than the Nanga Parbat?"
"highest  ","65","highest","SELECT DISTINCT ?uri WHERE { res:Ural_Mountains dbp:highest ?uri }","What is the highest place of the Urals?"
"highest  ","120","elevation","SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> , <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1","What is the highest mountain?"
"highest  ","165","elevation","SELECT DISTINCT ?uri WHERE { ?uri a dbo:Mountain , dbo:elevation ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1","What is the second highest mountain on Earth?"
"highest  ","201","elevation","SELECT ?m WHERE { ?m dbo:mountainRange dbr:Ore_Mountains , dbo:elevation ?height } ORDER BY DESC(?height) LIMIT 1","What is the highest mountain in Saxony Germany?"
"highest  ","289","elevation","SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Mountain , dbo:locatedInArea res:Italy , dbo:elevation ?num } ORDER BY DESC(?num) OFFSET 0 LIMIT 1","What is the highest mountain in Italy?"
"highest  ","400","elevation","SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Mountain}, dbo:locatedInArea res:Australia , dbo:elevation ?elevation } ORDER BY DESC(?elevation) LIMIT 1","What is the highest mountain in Australia?"
"highest density","16","densityrank","SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatStatesOfTheUnitedStates , dbp:densityrank ?rank } ORDER BY ASC(?rank) LIMIT 1","Which state of the USA has the highest population density?"
"highest density","22","densityrank","SELECT ?uri WHERE { ?uri dbp:densityrank ?density } ORDER BY ASC(?density) LIMIT 1","Which state of the United States of America has the highest density?"
"largest city","166","largestCity","ASK WHERE { res:Egypt dbo:largestCity ?large , dbo:capital ?capital FILTER ( ?large = ?capital ) }","Is Egypts largest city also its capital?"
"largest city","189","largestCity","SELECT ?lcity WHERE { dbr:United_States dbo:largestCity ?lcity }","What is the largest city in america?"
"largest city","284","largestCity","SELECT DISTINCT ?num WHERE { res:Canada dbo:largestCity ?city . ?city dbo:populationTotal ?num }","How many inhabitants does the largest city in Canada have?"
"largest city","301","largestCity","SELECT DISTINCT ?uri WHERE { res:Australia dbo:largestCity ?uri }","What is the largest city in Australia?"
